date,game_pk,hitter_id,hitter,slot,team,opp_pitcher_id,opp_pitcher,season_k_pct,recent_k_pct,opp_pitcher_k_pct,park_factor,matchup_k_pct,expected_pa,proj_ks,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,actual_ks,actual_pa,error,over_hit,over_pnl,under_pnl
2026-04-30,823391,687363,Victor Scott II,9,St. Louis Cardinals,694973,Paul Skenes,0.272,0.318,0.303,1.0,0.391,3.85,1.5,,,,,,0,,,,,,1,4,-0.5,,,
2026-04-30,824848,691723,Coby Mayo,8,Baltimore Orioles,663567,Peter Lambert,0.291,0.283,0.288,1.0,0.368,3.95,1.45,,,,,,0,,,,,,1,4,-0.45,,,
2026-04-30,824848,677942,Blaze Alexander,9,Baltimore Orioles,663567,Peter Lambert,0.286,0.308,0.288,1.0,0.377,3.85,1.45,,,,,,0,,,,,,0,4,-1.45,,,
2026-04-30,823471,642715,Willy Adames,6,San Francisco Giants,641835,Tim Mayza,0.31,0.379,0.233,1.0,0.349,4.15,1.45,,,,,,0,,,,,,1,4,-0.45,,,
2026-04-30,823471,671218,Heliot Ramos,1,San Francisco Giants,641835,Tim Mayza,0.316,0.263,0.233,1.0,0.305,4.65,1.42,,,,,,0,,,,,,0,5,-1.42,,,
2026-04-30,823471,646240,Rafael Devers,5,San Francisco Giants,641835,Tim Mayza,0.31,0.339,0.233,1.0,0.333,4.25,1.41,,,,,,0,,,,,,1,4,-0.41,,,
2026-04-30,825016,687515,Colby Thomas,4,Athletics,702070,Noah Cameron,0.364,0.364,0.191,1.0,0.308,4.35,1.34,,,,,,0,,,,,,0,3,-1.34,,,
2026-04-30,823391,691026,Masyn Winn,6,St. Louis Cardinals,694973,Paul Skenes,0.221,0.258,0.303,1.0,0.317,4.15,1.32,,,,,,0,,,,,,2,5,0.68,,,
2026-04-30,824929,622761,Jorge Mateo,8,Atlanta Braves,664285,Framber Valdez,0.406,0.414,0.182,1.0,0.331,3.95,1.31,,,,,,0,,,,,,1,2,-0.31,,,
2026-04-30,824848,624413,Pete Alonso,4,Baltimore Orioles,663567,Peter Lambert,0.246,0.219,0.288,1.0,0.301,4.35,1.31,,,,,,0,,,,,,0,4,-1.31,,,
2026-04-30,824848,687637,Dylan Beavers,5,Baltimore Orioles,663567,Peter Lambert,0.233,0.241,0.288,1.0,0.303,4.25,1.29,,,,,,0,,,,,,1,4,-0.29,,,
2026-04-30,823634,686452,Drew Millas,8,Washington Nationals,642547,Freddy Peralta,0.276,0.294,0.245,1.02,0.315,3.95,1.24,,,,,,0,,,,,,2,2,0.76,,,
2026-04-30,823714,621439,Byron Buxton,1,Minnesota Twins,592332,Kevin Gausman,0.273,0.271,0.217,1.01,0.265,4.65,1.23,,,,,,0,,,,,,0,2,-1.23,,,
2026-04-30,824850,642215,Weston Wilson,8,Baltimore Orioles,621121,Lance McCullers Jr.,0.294,0.294,0.237,1.0,0.31,3.95,1.22,,,,,,0,,,,,,0,4,-1.22,,,
2026-04-30,824848,669236,Jeremiah Jackson,6,Baltimore Orioles,663567,Peter Lambert,0.231,0.224,0.288,1.0,0.292,4.15,1.21,,,,,,0,,,,,,0,4,-1.21,,,
2026-04-30,824929,681481,Kerry Carpenter,6,Detroit Tigers,693821,Bryce Elder,0.343,0.304,0.199,1.0,0.29,4.15,1.2,,,,,,0,,,,,,2,4,0.8,,,
2026-04-30,823391,701675,Nathan Church,7,St. Louis Cardinals,694973,Paul Skenes,0.239,0.193,0.303,1.0,0.297,4.05,1.2,,,,,,0,,,,,,1,5,-0.2,,,
2026-04-30,825016,516782,Starling Marte,6,Kansas City Royals,605488,Jeffrey Springs,0.286,0.286,0.223,1.0,0.284,4.15,1.18,,,,,,0,,,,,,0,4,-1.18,,,
